name,subprogram,srb_num,test_method,export_test_method,combined_values,expected_value
SUT_Crypto_0023,AhsmAesCbcIndex,SRB_Crypto_049、SRB_Crypto_054、SRB_Crypto_055、SRB_Crypto_056,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesCbcIndex.nEncFlag:1
AhsmAesCbcIndex.nKeyIndex:0x0
AhsmAesCbcIndex.ucIv:<<malloc 1>>
AhsmAesCbcIndex.nDataLen:16
AhsmAesCbcIndex.ucData:<<malloc 1>>
AhsmAesCbcIndex.pnOutLen:<<malloc 1>>
AhsmAesCbcIndex.ucOutData:<<malloc 1>>
AhsmAesCbcIndex.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0024,AhsmAesCbcIndex,SRB_Crypto_049、SRB_Crypto_054、SRB_Crypto_055、SRB_Crypto_056,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesCbcIndex.nEncFlag:1
AhsmAesCbcIndex.nKeyIndex:0x0
AhsmAesCbcIndex.ucIv:<<malloc 1>>
AhsmAesCbcIndex.nDataLen:512
AhsmAesCbcIndex.ucData:<<malloc 1>>
AhsmAesCbcIndex.pnOutLen:<<malloc 1>>
AhsmAesCbcIndex.ucOutData:<<malloc 1>>
AhsmAesCbcIndex.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0001,AhsmAesEcb,SRB_Crypto_028、SRB_Crypto_029、SRB_Crypto_030、SRB_Crypto_031,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x37
Crypto_Drv_PriRetCheck.return:0x37
AhsmAesEcb.nEncFlag:2
AhsmAesEcb.nKeyLen:0
AhsmAesEcb.ucKey:<<null>>
AhsmAesEcb.nDataLen:0
AhsmAesEcb.ucData:<<null>>
AhsmAesEcb.pnOutLen:<<null>>
AhsmAesEcb.ucOutData:<<null>>
AhsmAesEcb.return:0x37
",return:0x37
SUT_Crypto_0002,AhsmAesEcb,SRB_Crypto_028、SRB_Crypto_029、SRB_Crypto_030、SRB_Crypto_031,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x31
Crypto_Drv_PriRetCheck.return:0x31
AhsmAesEcb.nEncFlag:0
AhsmAesEcb.nKeyLen:16
AhsmAesEcb.ucKey:<<null>>
AhsmAesEcb.nDataLen:31
AhsmAesEcb.ucData:<<malloc 1>>
AhsmAesEcb.pnOutLen:<<null>>
AhsmAesEcb.ucOutData:<<malloc 1>>
AhsmAesEcb.return:0x31
",return:0x31
SUT_Crypto_0003,AhsmAesEcb,SRB_Crypto_028、SRB_Crypto_029、SRB_Crypto_030、SRB_Crypto_031,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x31
Crypto_Drv_PriRetCheck.return:0x31
AhsmAesEcb.nEncFlag:1
AhsmAesEcb.nKeyLen:24
AhsmAesEcb.ucKey:<<malloc 1>>
AhsmAesEcb.nDataLen:132000
AhsmAesEcb.ucData:<<malloc 1>>
AhsmAesEcb.pnOutLen:<<malloc 1>>
AhsmAesEcb.ucOutData:<<malloc 1>>
AhsmAesEcb.return:0x31
",return:0x31
SUT_Crypto_0004,AhsmAesEcb,SRB_Crypto_028、SRB_Crypto_032、SRB_Crypto_033、SRB_Crypto_034,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesEcb.nEncFlag:1
AhsmAesEcb.nKeyLen:32
AhsmAesEcb.ucKey:<<malloc 1>>
AhsmAesEcb.nDataLen:512
AhsmAesEcb.ucData:<<malloc 1>>
AhsmAesEcb.pnOutLen:<<malloc 1>>
AhsmAesEcb.ucOutData:<<malloc 1>>
AhsmAesEcb.return:0x0
",return:0x0
SUT_Crypto_0005,AhsmAesEcb,SRB_Crypto_028、SRB_Crypto_032、SRB_Crypto_033、SRB_Crypto_034,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesEcb.nEncFlag:1
AhsmAesEcb.nKeyLen:32
AhsmAesEcb.ucKey:<<malloc 1>>
AhsmAesEcb.nDataLen:32
AhsmAesEcb.ucData:<<malloc 1>>
AhsmAesEcb.pnOutLen:<<malloc 1>>
AhsmAesEcb.ucOutData:<<malloc 1>>
AhsmAesEcb.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0006,AhsmAesEcb,SRB_Crypto_028、SRB_Crypto_032、SRB_Crypto_033、SRB_Crypto_034,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesEcb.nEncFlag:1
AhsmAesEcb.nKeyLen:32
AhsmAesEcb.ucKey:<<malloc 1>>
AhsmAesEcb.nDataLen:512
AhsmAesEcb.ucData:<<malloc 1>>
AhsmAesEcb.pnOutLen:<<malloc 1>>
AhsmAesEcb.ucOutData:<<malloc 1>>
AhsmAesEcb.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0007,AhsmAesEcbIndex,SRB_Crypto_035、SRB_Crypto_036、SRB_Crypto_037、SRB_Crypto_038、SRB_Crypto_039,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x37
Crypto_Drv_PriRetCheck.return:0x37
AhsmAesEcbIndex.nEncFlag:2
AhsmAesEcbIndex.nKeyIndex:0
AhsmAesEcbIndex.nDataLen:0
AhsmAesEcbIndex.ucData:<<null>>
AhsmAesEcbIndex.pnOutLen:<<null>>
AhsmAesEcbIndex.ucOutData:<<null>>
AhsmAesEcbIndex.return:0x37
",return:0x37
SUT_Crypto_0008,AhsmAesEcbIndex,SRB_Crypto_035、SRB_Crypto_036、SRB_Crypto_037、SRB_Crypto_038、SRB_Crypto_039,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x3A
Crypto_Drv_PriRetCheck.return:0x3A
AhsmAesEcbIndex.nEncFlag:0
AhsmAesEcbIndex.nKeyIndex:0xFF
AhsmAesEcbIndex.nDataLen:31
AhsmAesEcbIndex.ucData:<<malloc 1>>
AhsmAesEcbIndex.pnOutLen:<<null>>
AhsmAesEcbIndex.ucOutData:<<malloc 1>>
AhsmAesEcbIndex.return:0x3A
",return:0x3A
SUT_Crypto_0009,AhsmAesEcbIndex,SRB_Crypto_035、SRB_Crypto_036、SRB_Crypto_037、SRB_Crypto_038、SRB_Crypto_039,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x31
Crypto_Drv_PriRetCheck.return:0x31
AhsmAesEcbIndex.nEncFlag:1
AhsmAesEcbIndex.nKeyIndex:0x0
AhsmAesEcbIndex.nDataLen:132000
AhsmAesEcbIndex.ucData:<<malloc 1>>
AhsmAesEcbIndex.pnOutLen:<<malloc 1>>
AhsmAesEcbIndex.ucOutData:<<malloc 1>>
AhsmAesEcbIndex.return:0x31
",return:0x31
SUT_Crypto_0010,AhsmAesEcbIndex,SRB_Crypto_035、SRB_Crypto_040、SRB_Crypto_041、SRB_Crypto_042,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesEcbIndex.nEncFlag:1
AhsmAesEcbIndex.nKeyIndex:0x0
AhsmAesEcbIndex.nDataLen:512
AhsmAesEcbIndex.ucData:<<malloc 1>>
AhsmAesEcbIndex.pnOutLen:<<malloc 1>>
AhsmAesEcbIndex.ucOutData:<<malloc 1>>
AhsmAesEcbIndex.return:0x0
",return:0x0
SUT_Crypto_0011,AhsmAesEcbIndex,SRB_Crypto_035、SRB_Crypto_040、SRB_Crypto_041、SRB_Crypto_042,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesEcbIndex.nEncFlag:1
AhsmAesEcbIndex.nKeyIndex:0x0
AhsmAesEcbIndex.nDataLen:32
AhsmAesEcbIndex.ucData:<<malloc 1>>
AhsmAesEcbIndex.pnOutLen:<<malloc 1>>
AhsmAesEcbIndex.ucOutData:<<malloc 1>>
AhsmAesEcbIndex.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0012,AhsmAesEcbIndex,SRB_Crypto_035、SRB_Crypto_040、SRB_Crypto_041、SRB_Crypto_042,Requirements_based_testing,Demand_Analysis,"Crypto_Drv_PriParaCheck.RetVal[0]:0x0
Crypto_Drv_PriRetCheck.return:0x0
AhsmAesEcbIndex.nEncFlag:1
AhsmAesEcbIndex.nKeyIndex:0x0
AhsmAesEcbIndex.nDataLen:512
AhsmAesEcbIndex.ucData:<<malloc 1>>
AhsmAesEcbIndex.pnOutLen:<<malloc 1>>
AhsmAesEcbIndex.ucOutData:<<malloc 1>>
AhsmAesEcbIndex.return:0x0
AhsmSendRecvMsg.return:0
",return:0x0
SUT_Crypto_0031,AhsmAesDecryptSoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesDecryptSoft.in:<<malloc 1>>
AhsmAesDecryptSoft.out:<<malloc 1>>
AhsmAesDecryptSoft.key:<<malloc 1>>
AhsmAesDecryptSoft.return:0
",return:0
SUT_Crypto_0039,AhsmAesEcbCalcSoft,SRB_Crypto_438,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x33
AhsmAesEcbCalcSoft.szInData:<<null>>
AhsmAesEcbCalcSoft.szOutData:<<null>>
AhsmAesEcbCalcSoft.nLength:0
AhsmAesEcbCalcSoft.szKey:<<null>>
AhsmAesEcbCalcSoft.nKeyLen:0
AhsmAesEcbCalcSoft.nEncFlag:0
AhsmAesEcbCalcSoft.return:0x33
",return:0x33
SUT_Crypto_0040,AhsmAesEcbCalcSoft,SRB_Crypto_438,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x33
AhsmAesEcbCalcSoft.szInData:<<malloc 1>>
AhsmAesEcbCalcSoft.szOutData:<<null>>
AhsmAesEcbCalcSoft.nLength:8152
AhsmAesEcbCalcSoft.szKey:<<malloc 1>>
AhsmAesEcbCalcSoft.nKeyLen:16
AhsmAesEcbCalcSoft.nEncFlag:2
AhsmAesEcbCalcSoft.return:0x33
",return:0x33
SUT_Crypto_0041,AhsmAesEcbCalcSoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetEncKeySoft.return:0
AhsmAesEncryptSoft.return:0
AhsmAesEcbCalcSoft.szInData:<<malloc 1>>
AhsmAesEcbCalcSoft.szOutData:<<malloc 1>>
AhsmAesEcbCalcSoft.nLength:1024
AhsmAesEcbCalcSoft.szKey:<<malloc 1>>
AhsmAesEcbCalcSoft.nKeyLen:24
AhsmAesEcbCalcSoft.nEncFlag:1
AhsmAesEcbCalcSoft.return:0x0
",return:0x0
SUT_Crypto_0042,AhsmAesEcbCalcSoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesDecryptSoft.return:0
AhsmAesEncryptSoft.return:0
AhsmAesEcbCalcSoft.szInData:<<malloc 1>>
AhsmAesEcbCalcSoft.szOutData:<<malloc 1>>
AhsmAesEcbCalcSoft.nLength:1024
AhsmAesEcbCalcSoft.szKey:<<malloc 1>>
AhsmAesEcbCalcSoft.nKeyLen:32
AhsmAesEcbCalcSoft.nEncFlag:0
AhsmAesEcbCalcSoft.return:0x0
",return:0x0
SUT_Crypto_0043,AhsmAesEcbCalcSoft,SRB_Crypto_438,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"AhsmAesSetDecKeySoft.return:0x33
AhsmAesDecryptSoft.return:0
AhsmAesEncryptSoft.return:0
AhsmAesEcbCalcSoft.szInData:<<malloc 1>>
AhsmAesEcbCalcSoft.szOutData:<<malloc 1>>
AhsmAesEcbCalcSoft.nLength:1024
AhsmAesEcbCalcSoft.szKey:<<malloc 1>>
AhsmAesEcbCalcSoft.nKeyLen:32
AhsmAesEcbCalcSoft.nEncFlag:0
AhsmAesEcbCalcSoft.return:0x33
",return:0x33
SUT_Crypto_0038,AhsmAesEncryptSoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesEncryptSoft.in:<<malloc 1>>
AhsmAesEncryptSoft.out:<<malloc 1>>
AhsmAesEncryptSoft.key:<<malloc 1>>
AhsmAesEncryptSoft.return:0
",return:0
SUT_Crypto_0025,AhsmAesSetDecKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetDecKeySoft.userKey:<<malloc 1>>
AhsmAesSetDecKeySoft.bits:<<MIN>>
AhsmAesSetDecKeySoft.key:<<malloc 1>>
AhsmAesSetDecKeySoft.return:1
AhsmAesSetEncKeySoft.return:1
",return:1
SUT_Crypto_0026,AhsmAesSetDecKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetDecKeySoft.userKey:<<malloc 1>>
AhsmAesSetDecKeySoft.bits:<<MIN>>
AhsmAesSetDecKeySoft.key:<<malloc 1>>
AhsmAesSetDecKeySoft.return:0
AhsmAesSetEncKeySoft.return:0
",return:0
SUT_Crypto_0027,AhsmAesSetDecKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetDecKeySoft.userKey:<<malloc 1>>
AhsmAesSetDecKeySoft.bits:<<MIN>>
AhsmAesSetDecKeySoft.key:<<malloc 1>>
AhsmAesSetDecKeySoft.return:0
AhsmAesSetEncKeySoft.return:0
",return:0
SUT_Crypto_0028,AhsmAesSetDecKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetDecKeySoft.userKey:<<malloc 1>>
AhsmAesSetDecKeySoft.bits:<<MIN>>
AhsmAesSetDecKeySoft.key:<<malloc 1>>
AhsmAesSetDecKeySoft.return:0
AhsmAesSetEncKeySoft.return:0
",return:0
SUT_Crypto_0029,AhsmAesSetDecKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetDecKeySoft.userKey:<<malloc 1>>
AhsmAesSetDecKeySoft.bits:<<MIN>>
AhsmAesSetDecKeySoft.key:<<malloc 1>>
AhsmAesSetDecKeySoft.key[0].rounds:1
AhsmAesSetDecKeySoft.return:0
AhsmAesSetEncKeySoft.return:0
",return:0
SUT_Crypto_0030,AhsmAesSetDecKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetDecKeySoft.userKey:<<malloc 1>>
AhsmAesSetDecKeySoft.bits:<<MIN>>
AhsmAesSetDecKeySoft.key:<<malloc 1>>
AhsmAesSetDecKeySoft.key[0].rounds:2
AhsmAesSetDecKeySoft.return:0
AhsmAesSetEncKeySoft.return:0
",return:0
SUT_Crypto_0032,AhsmAesSetEncKeySoft,SRB_Crypto_438,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x33
AhsmAesSetEncKeySoft.userKey:<<null>>
AhsmAesSetEncKeySoft.bits:0
AhsmAesSetEncKeySoft.key:<<null>>
AhsmAesSetEncKeySoft.return:0x33
",return:0x33
SUT_Crypto_0033,AhsmAesSetEncKeySoft,SRB_Crypto_438,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x33
AhsmAesSetEncKeySoft.userKey:<<malloc 1>>
AhsmAesSetEncKeySoft.bits:128
AhsmAesSetEncKeySoft.key:<<null>>
AhsmAesSetEncKeySoft.return:0x33
",return:0x33
SUT_Crypto_0034,AhsmAesSetEncKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetEncKeySoft.userKey:<<malloc 1>>
AhsmAesSetEncKeySoft.bits:192
AhsmAesSetEncKeySoft.key:<<malloc 1>>
AhsmAesSetEncKeySoft.return:0x0
",return:0x0
SUT_Crypto_0035,AhsmAesSetEncKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetEncKeySoft.userKey:<<malloc 1>>
AhsmAesSetEncKeySoft.bits:256
AhsmAesSetEncKeySoft.key:<<malloc 1>>
AhsmAesSetEncKeySoft.return:0x0
",return:0x0
SUT_Crypto_0036,AhsmAesSetEncKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetEncKeySoft.userKey:<<malloc 1>>
AhsmAesSetEncKeySoft.bits:128
AhsmAesSetEncKeySoft.key:<<malloc 1>>
AhsmAesSetEncKeySoft.return:0x0
",return:0x0
SUT_Crypto_0037,AhsmAesSetEncKeySoft,SRB_Crypto_438,Requirements_based_testing,Demand_Analysis,"AhsmAesSetEncKeySoft.userKey:<<malloc 1>>
AhsmAesSetEncKeySoft.bits:256
AhsmAesSetEncKeySoft.key:<<malloc 1>>
AhsmAesSetEncKeySoft.return:0x0
",return:0x0
SUT_Crypto_0060,AhsmGetOrderedTLVFromData,SRB_Crypto_064,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x33
AhsmGetOrderedTLVFromData.ucData:<<null>>
AhsmGetOrderedTLVFromData.sn:0
AhsmGetOrderedTLVFromData.pnTLVOffset:<<null>>
AhsmGetOrderedTLVFromData.pnDataLen:<<null>>
AhsmGetOrderedTLVFromData.return:0x33
",return:0x33
SUT_Crypto_0061,AhsmGetOrderedTLVFromData,SRB_Crypto_064,Requirements_based_testing,Demand_Analysis,"AhsmGetTLVFromData.return:0
AhsmGetOrderedTLVFromData.ucData:<<malloc 1>>
AhsmGetOrderedTLVFromData.sn:0
AhsmGetOrderedTLVFromData.pnTLVOffset:<<malloc 1>>
AhsmGetOrderedTLVFromData.pnDataLen:<<malloc 1>>
AhsmGetOrderedTLVFromData.return:0x0
",return:0x0
SUT_Crypto_0062,AhsmGetOrderedTLVFromData,SRB_Crypto_064,Requirements_based_testing,Demand_Analysis,"AhsmGetTLVFromData.return:0
AhsmGetOrderedTLVFromData.ucData:<<malloc 1>>
AhsmGetOrderedTLVFromData.sn:10
AhsmGetOrderedTLVFromData.pnTLVOffset:<<malloc 1>>
AhsmGetOrderedTLVFromData.pnDataLen:<<malloc 1>>
AhsmGetOrderedTLVFromData.return:0x0
",return:0x0
SUT_Crypto_0063,AhsmGetOrderedTLVFromData,SRB_Crypto_064,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"AhsmGetTLVFromData.return:0x0
AhsmGetOrderedTLVFromData.ucData:<<malloc 1>>
AhsmGetOrderedTLVFromData.sn:10
AhsmGetOrderedTLVFromData.pnTLVOffset:<<malloc 1>>
AhsmGetOrderedTLVFromData.pnDataLen:<<malloc 1>>
AhsmGetOrderedTLVFromData.return:0x31
",return:0x31
SUT_Crypto_0074,AhsmGetRSAPriKeyFromData,SRB_Crypto_070、SRB_Crypto_071,Fault_Injection_Test,Generation_Analysis_Of_Equivalence_Classes,"Crypto_Drv_PriParaCheck.RetVal[0]:0x33
AhsmGetRSAPriKeyFromData.ucData:<<null>>
AhsmGetRSAPriKeyFromData.rsa:<<null>>
AhsmGetRSAPriKeyFromData.return:0x33
",return:0x33
SUT_Crypto_0075,AhsmGetRSAPriKeyFromData,SRB_Crypto_070、SRB_Crypto_072、SRB_Crypto_073,Requirements_based_testing,Demand_Analysis,"AhsmGetOrderedTLVFromData.return:0
AhsmGetRSAPriKeyFromData.ucData:<<malloc 1>>
AhsmGetRSAPriKeyFromData.rsa:<<malloc 1>>
AhsmGetRSAPriKeyFromData.return:0x0
AhsmGetRSAPriKeyFromDataP1.return:0
",return:0x0
SUT_Crypto_0076,AhsmGetRSAPriKeyFromData,SRB_Crypto_070、SRB_Crypto_072、SRB_Crypto_073,Requirements_based_testing,Demand_Analysis,"AhsmGetOrderedTLVFromData.return:0x33
AhsmGetRSAPriKeyFromData.ucData:<<malloc 1>>
AhsmGetRSAPriKeyFromData.rsa:<<malloc 1>>
AhsmGetRSAPriKeyFromData.return:0x33
AhsmGetRSAPriKeyFromDataP1.return:0
",return:0x33
